date,url,comment
2020.02.18,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4127&page=15#section1,▶ 현재시간 9시 00분 에이치엔티 현재가 2220원 기준 매수!!      
2020.02.18,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4127&page=15#section1,▶ 현재시간 9시 01분 비에이치아이 현재가 2560원 기준 매수!!       
2020.02.18,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4127&page=15#section1,▶ 현재시간 9시 02분 한전기술 현재가 21300원 기준 매수!!        
2020.02.18,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4127&page=15#section1,▶ 현재시간 9시 03분 씨젠 현재가 32600원 기준 매수!!     
2020.02.18,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4127&page=15#section1,▶ 현재시간 9시 32분 까뮤이앤씨 현재가 1490원 기준 매수!!      
2020.02.17,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4003&page=15#section1,▶ 현재시간 9시 00분 KH바텍 현재가 24750원 기준 매수!!     
2020.02.17,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4003&page=15#section1,▶ 현재시간 9시 01분 디피씨 현재가 11100원 기준 매수!!    
2020.02.17,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4003&page=15#section1,▶ 현재시간 9시 02분 우수AMS 현재가 4850원 기준 매수!!     
2020.02.17,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4003&page=15#section1,▶ 현재시간 9시 03분 제로투세븐 현재가 11300원 기준 매수!!      
2020.02.14,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=3887&page=15#section1,▶ 현재시간 9시 00분 위니아딤채 현재가 3520원 기준 매수!!    
2020.02.14,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=3887&page=15#section1,▶ 현재시간 9시 01분 소리바다 현재가 1060원 기준 매수!!    
2020.02.14,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=3887&page=15#section1,▶ 현재시간 9시 03분 다날 현재가 3530원 기준 매수!!     
2020.02.14,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=3887&page=15#section1,▶ 현재시간 9시 04분 CJ씨푸드 현재가 3250원 기준 매수!!      
