stock_code,stock_name,stock_class,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change
019550,SBI인베스트먼트,kospi,3.69,090004,3,1026,1126,1114,1087,1087,1100,1111,1109,1091,1091,1080,1056,1017,326170,336718,232189,343608,372786,308950,377451,790658,249446,364235,481314,3,283148.3333333333,481314,0.6998652061051629,0.004752344292145359,100,1
037030,파워넷,kospi,9.20,090029,9,4360,4460,3455,3400,3455,3570,3615,3690,3800,3930,3885,4050,4085,183314,153150,554235,196075,225139,4662262,15394195,1391183,717181,14598851,3624611,9,428045.25,3624611,7.467822035170347,0.0009232724398546648,100,1
037950,엘컴텍,kospi,8.11,090026,8,1220,1418,1157,1163,1180,1186,1193,1160,1164,1132,1109,1108,1165,815588,621452,315579,540345,399882,390566,349789,895130,679124,3389888,69215176,8,500862.0,69215176,137.19210880442117,0.003336766024090088,198,1
038010,제일테크노스,kospi,2.75,090023,2,7440,7940,7320,7140,7310,7270,7320,7320,7380,7300,7310,7200,7350,82752,73704,40215,89903,65857,73446,67126,83432,66719,101944,1122431,2,65050.4,1122431,16.25479013195922,0.0006321086220182571,500,1
041190,우리기술투자,kospi,3.58,090023,3,4420,4540,4720,4635,4730,4710,4570,4550,4515,4470,4410,4290,4305,1292977,796720,648821,586533,786515,770511,745474,748192,573136,780336,1243569,3,628911.8888888889,1243569,0.9773342211689431,0.0010924174709920672,120,1
048410,현대바이오,kospi,2.21,090023,2,23150,23850,25500,25500,25600,26250,25750,25400,25750,26700,27300,22400,19910,465175,303960,384934,469950,324485,421029,853096,789304,627900,4016566,2028792,2,465974.3,2028792,3.3538710182085154,0.00022383006548825865,700,1
064480,브리지텍,kospi,3.21,090029,3,12100,14490,8950,11080,11100,13300,13420,12800,12750,12310,11390,11460,11670,15807150,4751288,15451642,7527755,1806932,1697819,1442517,1018249,1481253,913332,16956620,3,2467185.375,16956620,5.872860131152488,0.0004081718238350551,2390,1
078340,컴투스,kospi,2.42,090020,2,67100,69800,67700,66200,66800,67000,66900,67600,68100,67700,66400,66000,66900,214706,151083,162867,146714,136469,132402,207436,382328,246210,220447,409695,2,162754.11111111112,409695,1.5172636021482986,7.3128615209236e-05,2700,1
082660,코스나인,kospi,10.40,090025,10,810,1034,798,798,798,798,798,798,798,798,798,798,747,0,0,0,0,0,0,0,0,0,0,8756941,10,0.0,8756941,inf,0.004499524415401532,224,1
086960,MDS테크,kospi,2.14,090026,2,2835,3110,2665,3110,3185,2995,3015,3065,2910,2880,3010,2810,2705,230295216,67713056,65040056,23294596,51469956,18531674,14209396,39983792,24418654,9919272,40024296,2,33851542.777777776,40024296,0.18234776662156738,0.0017231729568593574,275,1
100790,미래에셋벤처투자,kospi,5.89,090027,5,6300,6340,5780,5590,5590,5540,5530,5650,5980,5970,6050,5920,6010,307874,342620,285623,243667,216666,1149397,492345,395176,999860,856285,1229307,5,286247.625,1229307,3.2945579024454785,0.000713235463405309,40,1
101730,위메이드맥스,kospi,3.86,090027,3,16520,17650,19330,17930,18010,17620,17630,17350,16560,16440,16730,15610,16050,1321377,1150558,673013,632077,889362,462867,658352,989354,576195,671904,1514233,3,736920.5,1514233,1.0548118826929094,0.000262609044956908,1130,1
112040,위메이드,kospi,3.56,090027,3,49050,50800,55000,51800,51700,51300,51300,51500,49750,48350,47650,46550,48200,1350104,1380968,745668,721917,836835,630745,946902,644383,647660,567523,1033452,3,652788.75,1033452,0.5831339005152891,9.522634802759928e-05,1750,1
115500,케이씨에스,kospi,5.48,090030,5,11860,12700,5910,5840,5720,5750,5650,6200,6820,6910,7590,9780,10250,159409,92451,126768,76817,135654,3702110,784685,1241951,7758693,17462224,4328915,5,328498.125,4328915,12.177898656194765,-6.309568030278037e-05,840,1
121800,비덴트,kospi,3.07,090021,3,3350,3615,3775,3720,3740,3690,3685,3540,3545,3500,3355,3225,3295,1263939,871988,534622,895260,713643,1150093,1034640,896888,750406,676403,1980417,3,811477.4,1980417,1.4405078933806412,0.0013914555169213187,265,1
140410,메지온,kospi,4.64,090027,4,18960,19990,15580,15850,15930,15470,15160,14900,15050,15520,15550,17230,18400,533340,531686,271217,246544,196284,201231,408534,256089,483107,2580676,1753905,4,314643.2,1753905,4.5742663435917255,0.0001548561277491082,1030,1
151860,KG ETS,kospi,5.03,090026,5,16700,18000,13590,14120,14030,14380,14700,14950,15380,16300,16280,15420,15900,566573,915315,366737,904452,835613,597065,6529029,1036436,1203073,959840,4292299,5,715684.8888888889,4292299,4.997470488253366,0.0002531138826207299,1300,1
205470,휴마시스,kospi,12.58,090030,12,19000,21500,14800,14260,13000,14430,14180,14230,14790,15850,17100,16750,18980,739911,423067,1835034,379884,416139,536481,1702844,5104215,2377936,1422896,14655084,12,936697.3333333334,14655084,14.645484916508071,0.00010847836210471271,2500,1
214680,디알텍,kospi,4.47,090029,4,2350,2525,1586,1580,1609,1635,2240,2400,2295,2255,2220,2130,2145,1870251,1716034,831491,47308664,105660608,19720040,4938309,2588635,2948509,25839712,31039192,4,4326926.75,31039192,6.17349606161001,0.0019699314144203464,175,1
218150,미래생명자원,kospi,5.32,090026,5,4400,4540,4225,4145,4230,4265,4210,4180,4205,4220,4165,4155,4215,160151,118460,84579,67598,78913,85495,96078,102496,146279,152760,577000,5,94426.4,577000,5.110579244787475,0.0010568881466875134,140,1
256940,케이피에스,kospi,4.72,090026,4,11050,11100,9710,9490,9490,9800,9950,9810,9800,9920,10130,10220,10260,210779,1032868,391783,712037,353892,144386,334235,505586,237563,257524,873535,4,322280.1111111111,873535,1.710483737232035,0.0003963399262108933,50,1
298870,다올인베스트먼트,kospi,3.73,090024,3,3060,3260,3320,3290,3325,3145,3070,3065,3045,2970,2945,2880,2985,1410326,4085852,1956136,1496054,1268166,761410,757901,1075340,516258,1085269,3994775,3,1027175.1111111111,3994775,2.8890885855662822,0.0014151570341564622,200,1
303030,지니틱스,kospi,2.19,090022,2,1760,1790,1777,1731,1729,1727,1716,1756,1780,1751,1691,1668,1625,2167457,941440,935437,1185067,624288,1646240,1110995,872920,770398,1122406,856241,2,898712.2222222222,856241,-0.04725786650281083,0.0027978829087089126,30,1
322180,티라유텍,kospi,7.15,090029,7,14900,15500,9960,10510,10260,10270,10630,10300,10550,10460,10500,11050,12430,73996,134403,35905,79984,80590,813825,122329,38201,107913,1758131,1389171,7,76194.55555555556,1389171,17.231893209051098,0.00012628645027836936,600,1
323990,박셀바이오,kospi,5.96,090030,5,42800,43500,34900,34050,34050,33900,34050,33950,33900,33650,34050,35000,37400,328545,143795,128534,127099,126135,144227,163806,129561,3370327,6571336,1916990,5,125069.625,1916990,14.32738264786514,7.40608367867648e-05,700,1
351320,에스에이티이엔지,kospi,10.45,090030,10,4890,5370,3360,3300,3310,3455,3475,3540,3475,3585,3420,3315,4425,170635,125853,519441,193394,360535,380851,769797,1831752,381215,4328044,11674845,10,322905.1111111111,11674845,35.15565253775963,0.00035580174347105267,480,1
351330,이삭엔지니어링,kospi,12.29,090030,12,12420,13300,9810,9710,9900,9800,9850,9850,9920,9600,9600,9780,10640,41800,96868,103817,30683,29799,204806,63727,59777,82105,4178310,3444152,12,57690.666666666664,3444152,58.70033280946658,0.00023770052780731644,880,1
366330,신한제7호스팩,kospi,3.51,090030,3,2210,2310,2130,2150,2145,2150,2150,2170,2175,2140,2130,2130,2145,36643,32041,2365,12983,15036,12038,61615,25709,54911,13675,109194,3,25548.6,109194,3.273971959324582,0.002165625210959348,100,1
376180,피코그램,kospi,4.86,090029,4,10350,11430,9500,9020,9100,8900,8960,8840,8910,8780,9330,9800,10210,5330410,1373251,735384,769818,3167525,772146,598652,2691919,23507848,2751448,11325761,4,1716590.5555555555,11325761,5.597823204459227,0.00032098258522438646,1080,1
