stock_code,stock_name,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change
Q520055,미래에셋 인버스 2X 코스피200 선물 ETN,3.15,090015,3.15,16190,16340,15515,15975,15660,15685,16365,15995,15895,15995,15680,15595,16150,49661,386123,278429,165314,252249,498344,840849,85109,242828,8302,17658,3,218484.33333333334,17658,-0.9191795597853698,-0.0008710771637727094,150,1
Q520057,미래에셋 인버스 2X 코스닥150 선물 ETN,2.58,090005,2.58,12715,12715,13185,13425,13570,13695,13860,13235,13030,12920,12345,12145,12310,526553,847814,2065890,745849,1717293,2961412,1557293,3117598,2988698,1235738,2133548,2,1776413.8,2133548,0.20104223464150062,0.0019963765591248274,0,0
Q520011,미래에셋 인버스 원유선물혼합 ETN(H),4.11,090026,4.11,4175,4175,4160,4210,4320,4000,4190,4235,4130,4115,4060,3995,4150,40249,40716,900,722,2693,28,40156,40341,313,2602,139775,4,16872.0,139775,7.2844357515410145,-0.00689213014906211,0,0
Q530068,삼성 레버리지 천연가스 선물 ETN B,6.44,090030,6.44,2625,2740,2090,1805,2015,2335,2605,2845,3010,3015,2785,2365,2625,3974747,9557566,7119577,7894672,7354979,5354903,3546083,2786935,3738613,4796222,2192709,6,5612429.7,2192709,-0.6093119883532796,0.003623315325908002,115,1
Q530071,삼성 인버스 2X 나스닥 100 ETN(H),2.61,090030,2.61,6885,6930,6675,6930,6865,6860,7040,6950,7105,7030,6665,6670,6880,53174,159374,180208,182040,292056,228425,273856,105748,237237,38618,105840,2,175073.6,105840,-0.3954542546677512,0.016368702112839625,45,1
Q530072,삼성 S&P500 VIX S/T 선물 ETN(H) C,2.15,090030,2.15,4030,4070,4380,4630,4455,4350,4475,4330,4295,4160,3990,3940,4030,20305,55876,29285,24358,41981,20535,24191,34622,54124,27137,103881,2,33241.4,103881,2.1250488848243454,0.0030486597774874663,40,1
Q530082,삼성 인버스 2X 항셍테크 ETN(H),2.29,090021,2.29,9160,9550,8195,8825,8695,9055,9350,9360,8740,8315,8270,8270,9160,105930,170768,71452,95273,161785,87125,161289,71419,83397,111936,103768,2,112037.4,103768,-0.07380928154348454,-0.0015029520813092815,390,1
Q530100,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,8.19,090026,8.19,20350,20680,20425,21000,22045,21115,20885,21500,20330,20085,19315,18640,20000,48510,38547,145862,26098,102877,54244,99927,69427,131754,86130,212027,8,80337.6,212027,1.6392000756806278,-0.00011276802543184702,330,1
Q530056,삼성 인버스 2X 금 선물 ETN(H),3.56,090006,3.56,9300,9360,8965,9025,9115,9135,9290,9240,9050,9025,8880,8950,9300,2948,1306,1422,1263,23506,267,1438,4506,677,3068,9536,3,1877.2222222222222,9536,4.07984610831607,-0.007169034443487202,60,1
Q530062,삼성 인버스 2X 은 선물 ETN(H),9.65,090030,9.65,1705,1740,1450,1435,1470,1510,1590,1615,1560,1555,1520,1550,1700,14247,44452,39134,74105,63363,18336,8022,12340,54355,20385,134503,9,34873.9,134503,2.8568384952643666,-0.006693860474845679,35,1
